,Alturas,Arleta,Arvin,Auburn,Bakersfield,Bakersfield Southwest,Barstow,Bell Gardens,Bellflower,Bishop,Blythe,Brawley,Carmichael,Chico,Chula Vista,Clovis,Coalinga,Colusa,Compton,Concord,Corte Madera,Costa Mesa,Crescent City,Culver City,Daly City,Davis,Delano,El Cajon,El Centro,El Cerrito,El Monte,Eureka,Fairfield,Fall River Mills,Folsom,Fontana,Fontana Commercial Drive Test Center,Fort Bragg,Fremont,Fresno,Fresno Commercial Drive Test Center,Fresno North,Fullerton,Garberville,Gardena Commercial Drive Test Center,Gilroy,Glendale,Goleta,Grass Valley,Hanford,Hawthorne,Hayward,Hemet,Hollister,Hollywood,Indio,Jackson,King City,Lake Isabella,Lakeport,Lancaster,Lincoln Park,Lodi,Lompoc,Long Beach,Los Angeles,Los Banos,Los Gatos,Madera,Manteca,Mariposa,Mendota,Merced,Modesto,Montebello,Mt Shasta,Napa,Needles,Newhall,Norco,Novato,Oakland,Oceanside,Oroville,Oxnard,Palm Desert,Palm Springs,Pasadena,Paso Robles,Petaluma,Pittsburg,Placerville,Pleasanton,Pomona,Porterville,Poway,Quincy,Rancho Cucamonga,Rancho San Diego Industry Business Center,Red Bluff,Redding,Redlands,Redwood City,Reedley,Ridgecrest,Riverside,Riverside East,Rocklin,Roseville,Sacramento,Sacramento South,Salinas,San Andreas,San Bernardino,San Clemente,San Diego,San Diego Clairemont,San Francisco,San Jose,San Luis Obispo,San Marcos,San Mateo,San Pedro,San Ysidro,Santa Ana,Santa Barbara,Santa Clara,Santa Monica,Santa Paula,Santa Rosa,Santa Teresa,Seaside,Shafter,Simi Valley,Sonora,South Lake Tahoe,Stockton,Susanville,Taft,Temecula,Thousand Oaks,Torrance,Tracy,Truckee,Tulare,Tulelake,Turlock,Twentynine Palms,Ukiah,Vacaville,Vallejo,Van Nuys,Ventura,Victorville,Visalia,Watsonville,Weaverville,West Covina,West Hollywood,West Sacramento Commercial Drive Test Center,Westminster,Whittier,Willows,Winnetka,Woodland,Yreka,Yuba City
Fresno Commercial Drive Test Center,9291.033333333333,5188.45,2852.4666666666667,4613.166666666667,2412.05,2420.65,5603.133333333333,5784.183333333333,5939.3,3645.633333333333,9589.516666666666,9469.866666666667,4172.616666666667,6179.55,8745.75,275.45,1263.6666666666667,5463.366666666667,5866.333333333333,3884.883333333333,4632.35,6466.9,13381.55,5663.5,4382.033333333334,4452.083333333333,1704.3333333333333,8576.416666666666,9801.766666666666,4341.916666666667,5761.983333333334,10406.65,4544.916666666667,8876.533333333333,4163.15,6055.7,6087.9,8120.6,3823.65,133.16666666666666,0.0,240.45,6113.433333333333,9006.4,5836.933333333333,2707.3333333333335,5382.25,4722.583333333333,5268.583333333333,656.3166666666667,5812.883333333333,3977.3333333333335,6907.716666666666,2420.05,5529.2,7834.966666666666,3535.9166666666665,2536.383333333333,4304.366666666667,6508.15,4382.4,5583.2,3309.55,4221.45,6039.966666666666,5644.666666666667,1598.4166666666667,3458.6,695.3666666666667,2805.7833333333333,1733.3333333333333,814.1666666666666,1512.2333333333333,2397.75,5734.9,9910.833333333334,4526.183333333333,9395.016666666666,4863.75,6441.283333333334,4887.066666666667,4278.2,7783.733333333334,5770.7,5433.066666666667,7632.333333333333,7382.633333333333,5766.1,2535.95,5173.783333333334,3614.1666666666665,4318.5,3541.9333333333334,6325.966666666666,1583.5833333333333,8206.25,7134.85,6198.333333333333,8664.9,6997.15,7819.183333333333,6253.45,3939.2,468.5,4312.933333333333,6274.466666666666,6376.5,4400.716666666666,4380.05,4085.95,3957.4333333333334,2889.25,3172.5333333333333,6097.3,7018.0,8571.05,8417.583333333334,4542.233333333334,3377.7,3443.016666666667,7844.7,4120.9,6079.016666666666,8950.083333333334,6370.7,4502.216666666666,3561.883333333333,5673.966666666666,5266.683333333333,5488.566666666667,3183.483333333333,3252.516666666667,2013.0833333333333,5303.383333333333,2724.0666666666666,5341.0,3054.116666666667,7735.933333333333,2703.1833333333334,7151.983333333334,5552.65,5932.816666666667,2945.25,6040.05,1045.5166666666667,10668.066666666668,2129.866666666667,7323.05,7100.466666666666,4570.416666666667,4301.65,5270.716666666666,5218.0,5616.883333333333,957.3666666666667,2948.55,8878.633333333333,5928.566666666667,5514.183333333333,4212.7,6218.4,5895.25,6011.0,5357.283333333334,4584.333333333333,10557.333333333334,5179.566666666667
Fresno North,9061.833333333334,5417.233333333334,3081.233333333333,4437.683333333333,2640.8166666666666,2649.4166666666665,5831.9,6012.95,6168.066666666667,3775.3166666666666,9818.283333333333,9698.633333333333,3997.133333333333,6004.066666666667,8974.516666666666,171.55,1430.45,5287.883333333333,6095.1,3783.85,4531.316666666667,6695.666666666667,13206.066666666668,5892.266666666666,4281.016666666666,4276.6,1933.1,8805.183333333332,10030.533333333333,4240.883333333333,5990.75,10231.166666666666,4369.433333333333,8701.05,3987.6666666666665,6284.466666666666,6316.683333333333,7945.116666666667,3722.633333333333,143.86666666666667,238.9,0.0,6342.2,8830.916666666666,6065.7,2606.3,5611.016666666666,4930.05,5093.1,885.0833333333334,6041.65,3876.3166666666666,7136.483333333334,2418.2166666666667,5757.966666666666,8063.733333333334,3360.4166666666665,2703.15,4533.133333333333,6332.666666666667,4611.183333333333,5811.966666666666,3134.05,4428.933333333333,6268.733333333334,5873.433333333333,1497.4,3357.5833333333335,530.95,2630.3,1504.1333333333334,863.5833333333334,1336.75,2222.266666666667,5963.666666666667,9735.35,4425.15,9623.8,5092.516666666666,6670.05,4786.05,4177.183333333333,8012.5,5595.216666666666,5640.55,7861.1,7611.4,5994.866666666667,2743.4166666666665,5072.766666666666,3513.133333333333,4143.016666666666,3440.9,6554.733333333334,1812.35,8435.016666666666,6959.35,6427.1,8893.666666666666,6821.666666666667,7643.7,6482.216666666666,3838.1833333333334,697.2666666666667,4541.7,6503.25,6605.266666666666,4225.233333333334,4204.566666666667,3910.45,3781.95,2914.233333333333,2997.05,6326.066666666667,7246.766666666666,8799.816666666668,8646.35,4441.2,3276.6833333333334,3650.5,8073.466666666666,4019.866666666667,6307.783333333334,9178.85,6599.466666666666,4709.7,3460.866666666667,5902.75,5514.45,5387.533333333334,3082.4666666666667,3277.5,2241.85,5125.766666666666,2548.5833333333335,5111.8,2878.633333333333,7506.733333333334,2910.65,7380.766666666666,5375.033333333334,6161.583333333333,2844.2166666666667,5810.85,1274.3,10374.666666666666,1954.3833333333334,7551.816666666667,6924.983333333334,4394.933333333333,4200.633333333333,5499.483333333334,5425.483333333334,5845.65,1186.1333333333334,2972.55,8703.15,6157.333333333333,5742.95,4037.2,6447.183333333333,6124.016666666666,5835.516666666666,5411.183333333333,4408.85,10381.85,5004.083333333333
Fullerton,13941.6,1016.15,3329.5666666666666,10593.25,3738.883333333333,3720.366666666667,2606.233333333333,369.6333333333333,271.8333333333333,6324.316666666667,4984.716666666666,4213.016666666666,10152.716666666667,12135.833333333334,2449.75,6257.8,5820.083333333333,11419.65,386.3833333333333,9770.666666666666,10352.016666666666,381.03333333333336,19337.816666666666,736.8166666666667,9895.483333333334,10408.366666666667,4508.95,2496.116666666667,4166.85,10043.95,474.8666666666667,16362.916666666666,10501.183333333332,13949.816666666668,10143.233333333334,946.5833333333334,929.0333333333333,14076.866666666667,9337.116666666667,6260.9,6135.333333333333,6365.766666666666,0.0,14962.666666666666,462.76666666666665,8220.783333333333,740.9666666666667,3368.6666666666665,11248.683333333332,5530.6,577.7833333333333,9535.016666666666,1470.3333333333333,7848.933333333333,691.2166666666667,2696.4333333333334,9575.616666666667,7202.133333333333,3538.383333333333,12464.416666666666,2022.7166666666667,552.45,9290.266666666666,4300.0,341.96666666666664,565.8,7462.916666666667,8972.05,6824.716666666666,8775.233333333334,7857.4,6699.366666666667,7641.583333333333,8377.833333333334,397.18333333333334,15205.533333333333,10411.966666666667,5984.8,1278.0833333333333,638.1666666666666,10273.816666666668,9916.25,1720.1166666666666,11726.966666666667,2070.5333333333333,2493.8,2244.0833333333335,625.7333333333333,6058.616666666667,10560.55,9499.95,10317.333333333334,9427.716666666667,525.4333333333333,4810.416666666667,2146.6833333333334,12254.366666666667,777.6333333333333,2582.3166666666666,12953.416666666666,13775.45,1191.7166666666667,9452.666666666666,5942.466666666666,3579.633333333333,842.1166666666667,992.3166666666667,10380.816666666668,10360.15,10042.216666666667,9913.716666666667,8100.183333333333,9301.9,1181.3666666666666,904.6166666666667,2275.05,2121.5833333333335,10055.683333333332,8891.166666666666,5264.266666666666,1898.2666666666667,9634.35,596.5833333333334,2654.0833333333335,257.3333333333333,3135.9,9075.333333333334,829.4666666666667,2121.2,10875.316666666668,8696.95,8553.633333333333,4129.083333333333,1508.8166666666666,8853.416666666666,10121.833333333334,9010.45,12475.65,3895.483333333333,1399.5,1609.5666666666666,543.3333333333334,8831.033333333333,10820.883333333333,5259.3,15327.583333333334,8116.733333333334,3189.9666666666667,13056.733333333334,10526.683333333332,10187.45,985.3833333333333,2213.1833333333334,1860.1833333333334,5393.6,8377.433333333332,14834.916666666666,408.0833333333333,715.65,10168.966666666667,223.85,231.96666666666667,11967.266666666666,1155.4833333333333,10540.616666666667,15990.166666666666,11135.85
Garberville,6243.9,14012.0,11814.833333333334,5314.483333333334,11374.416666666666,11383.016666666666,14565.5,14607.716666666667,14762.833333333334,10875.633333333333,18551.883333333335,18279.783333333333,5074.033333333334,3934.95,17555.666666666668,8961.366666666667,9255.266666666666,3972.766666666667,14689.866666666667,5262.7,4922.433333333333,15290.433333333332,8375.033333333333,14487.033333333333,5386.766666666666,4631.766666666666,10666.7,17386.333333333332,18611.683333333334,5172.983333333334,14585.516666666666,2190.8166666666666,4527.45,4709.3,5324.05,14865.616666666667,14897.833333333334,1723.8333333333333,5522.333333333333,8871.75,9002.583333333334,8830.016666666666,14936.966666666667,0.0,14660.466666666667,6661.716666666666,14205.783333333333,12449.416666666666,5252.4,9570.433333333332,14636.416666666666,5322.233333333334,15717.633333333333,6997.383333333333,14352.733333333334,16644.883333333335,5921.733333333334,8263.766666666666,13299.283333333333,2631.616666666667,13179.683333333332,14406.733333333334,5790.633333333333,11487.95,14863.5,14468.2,7524.383333333333,6422.866666666667,8324.4,6207.816666666667,7947.4,8261.583333333334,7498.65,6615.3,14558.433333333332,5108.433333333333,4913.283333333334,18357.4,13687.283333333333,15251.2,4586.916666666667,5324.25,16593.65,4309.516666666666,13843.866666666667,16442.266666666666,16192.55,14574.55,9430.3,4282.216666666666,5560.483333333334,5860.083333333333,5779.983333333334,15054.916666666666,10578.566666666668,17016.166666666668,5690.716666666666,15008.25,17474.816666666666,3217.25,3144.3166666666666,15063.366666666667,5826.833333333333,9463.483333333334,13307.85,15084.4,15186.416666666666,5237.95,5185.6,4930.266666666666,5053.633333333333,7593.75,6200.3,14907.216666666667,15841.533333333333,17380.966666666667,17227.5,5264.016666666666,5964.416666666667,10337.383333333333,16654.616666666665,5650.05,14902.55,17760.0,15194.25,12913.016666666666,6221.883333333333,14497.516666666666,13717.766666666666,3987.266666666667,6154.083333333333,7738.616666666667,10975.45,13714.183333333332,7014.733333333334,7272.5,5954.716666666666,5516.216666666666,11113.966666666667,15961.916666666666,13963.45,14756.35,6230.2,6824.066666666667,10040.516666666666,6461.216666666666,6903.35,16216.833333333334,2206.8166666666666,4718.616666666667,4862.733333333334,14094.25,13628.8,14510.666666666666,9952.35,7152.5,2877.15,14752.1,14337.716666666667,4808.216666666666,15041.95,14718.783333333333,3421.9,13999.6,4438.116666666667,5550.833333333333,4387.75
Gardena Commercial Drive Test Center,13813.183333333332,742.1,3055.516666666667,10319.2,3464.8333333333335,3446.3,2880.75,230.03333333333333,202.96666666666667,6195.883333333333,5437.55,4665.85,9878.65,11861.766666666666,2881.883333333333,5983.75,5546.016666666666,11145.583333333334,90.55,9496.616666666667,10077.966666666667,775.2833333333333,19063.766666666666,324.25,9621.433333333332,10134.3,4234.9,2928.233333333333,4619.683333333333,9769.9,505.3666666666667,16088.866666666667,10227.133333333333,13821.4,9869.183333333332,1221.0833333333333,1249.6333333333334,13802.816666666668,9063.05,5986.833333333333,5861.283333333334,6091.716666666666,464.25,14688.616666666667,0.0,7946.733333333334,466.9,3057.05,10974.616666666667,5256.55,120.05,9260.966666666667,1923.1833333333334,7574.866666666667,366.55,3149.266666666667,9301.566666666668,6576.816666666667,3505.8333333333335,12190.366666666667,1861.0833333333333,318.43333333333334,9016.216666666667,3988.366666666667,265.28333333333336,206.58333333333334,7188.866666666667,8698.0,6550.666666666667,8501.183333333332,7583.333333333333,6425.3,7367.533333333334,8103.783333333334,331.81666666666666,15077.1,10137.916666666666,6380.0,1004.0166666666667,1091.0166666666667,9999.766666666666,9642.2,2152.233333333333,11452.916666666666,1758.9166666666667,2946.65,2696.9333333333334,571.6333333333333,5248.3,10286.5,9225.9,10043.266666666666,9153.666666666666,861.8666666666667,4536.366666666667,2578.8,12125.95,1052.1333333333334,3014.45,12679.366666666667,13501.4,1583.6833333333334,9178.6,5668.4,3547.0833333333335,1294.9666666666667,1445.15,10106.75,10086.083333333334,9768.166666666666,9639.65,7826.133333333333,9027.833333333334,1476.3833333333334,1336.75,2707.1833333333334,2553.7,9781.633333333333,8617.1,4952.633333333333,2330.383333333333,9360.3,256.2,3086.2,688.95,2824.2833333333333,8801.283333333333,416.65,1847.15,10601.266666666666,8422.9,7928.316666666667,3855.0333333333333,1197.2,8579.366666666667,9993.416666666666,8736.4,12347.233333333334,3621.4166666666665,1852.35,1297.9333333333334,152.68333333333334,8556.983333333334,10692.466666666667,4985.25,15199.15,7842.666666666667,3585.15,12782.683333333332,10252.633333333333,9913.383333333333,703.6,1901.5666666666666,2134.7,5119.533333333334,8103.366666666667,14560.85,614.5,388.76666666666665,9894.916666666666,504.9166666666667,361.95,11693.216666666667,843.9166666666666,10266.55,15861.733333333334,10861.783333333333
Gilroy,9351.6,7275.2,5115.483333333334,3954.883333333333,4678.15,4678.75,7866.166666666667,7870.933333333333,8026.05,6079.466666666666,11852.533333333333,11542.983333333334,3430.0333333333333,5373.45,10818.883333333333,2717.616666666667,2419.55,4505.333333333333,7953.083333333333,1966.75,2169.8166666666666,8553.633333333333,12352.733333333334,7750.233333333334,1713.2833333333333,3511.8,4121.75,10649.533333333333,11874.883333333333,1861.75,7848.716666666666,8370.25,2741.116666666667,8070.433333333333,3504.866666666667,8128.816666666667,8161.033333333334,6180.35,1154.9,2576.9166666666665,2704.5,2604.8333333333335,8200.166666666666,6664.883333333333,7923.666666666667,0.0,7469.0,5826.25,4610.3,3093.616666666667,7899.633333333333,1352.8166666666666,8980.85,374.2,7615.95,9908.083333333334,3161.55,1640.5833333333333,6792.266666666666,4065.8166666666666,6442.883333333333,7669.95,2548.95,4864.766666666666,8126.7,7731.4,1119.7166666666667,789.85,2243.6666666666665,2074.983333333333,2747.2,1891.9833333333333,1899.45,1835.2833333333333,7821.633333333333,8882.016666666666,2603.75,11658.05,6950.483333333334,8514.416666666666,2091.616666666667,1734.05,9856.85,4964.6,6960.266666666666,9705.466666666667,9455.75,7837.75,2807.116666666667,2378.3333333333335,2206.2,3835.4166666666665,1633.1833333333334,8318.116666666667,4141.016666666666,10279.366666666667,6328.733333333334,8271.45,10738.033333333333,5968.333333333333,6790.366666666667,8326.583333333334,1270.45,3113.0,6800.833333333333,8347.6,8449.616666666667,3685.2166666666667,3664.55,3279.8333333333335,3151.3333333333335,837.0666666666667,3049.2166666666667,8170.416666666667,9104.733333333334,10644.183333333332,10490.7,1873.4833333333333,708.95,3714.2,9917.816666666668,1452.1333333333334,8165.766666666666,11023.2,8457.45,5834.716666666666,893.1333333333333,7760.716666666666,6960.483333333334,2693.116666666667,514.7333333333333,981.9333333333333,4391.466666666666,6977.383333333333,2953.1,5039.016666666666,2248.016666666667,7491.75,4377.166666666667,9225.116666666667,7377.866666666667,8019.55,1969.4,5889.5,3617.8,9861.966666666667,1824.0,9480.033333333333,4658.133333333333,3039.3,2379.2166666666667,7357.45,6745.2,7773.883333333333,3553.266666666667,427.9166666666667,7849.816666666667,8015.3,7600.933333333333,3406.5833333333335,8305.15,7981.983333333334,4982.183333333333,7262.8,3650.85,9528.516666666666,4373.466666666666
Glendale,13275.466666666667,275.18333333333334,2588.6,9852.283333333333,2997.9166666666665,2979.383333333333,2756.983333333333,401.9166666666667,557.0333333333333,5658.183333333333,5355.85,4702.466666666666,9411.733333333334,11394.85,3180.85,5516.833333333333,5079.1,10678.683333333332,484.06666666666666,9029.7,9611.05,1084.6333333333334,18596.85,386.45,9154.516666666666,9667.4,3767.983333333333,3227.2166666666667,4847.183333333333,9302.983333333334,379.8666666666667,15621.95,9760.216666666667,13283.683333333332,9402.266666666666,1113.8666666666666,1174.45,13335.9,8596.133333333333,5519.933333333333,5394.366666666667,5624.8,731.1666666666666,14221.7,454.6666666666667,7479.816666666667,0.0,2630.633333333333,10507.7,4789.633333333333,464.3333333333333,8794.05,2096.5833333333335,7107.95,201.11666666666667,3067.5666666666666,8834.65,6109.9,3048.366666666667,11723.45,1394.1666666666667,200.93333333333334,8549.3,3561.95,657.7,262.4,6721.95,8231.083333333334,6083.75,8034.266666666666,7116.416666666667,5958.4,6900.616666666667,7636.866666666667,352.6333333333333,14539.383333333333,9671.0,6282.383333333333,537.1166666666667,1258.4833333333333,9532.85,9175.283333333333,2451.2166666666667,10986.0,1332.5,2864.95,2615.233333333333,311.4166666666667,4781.383333333333,9819.583333333334,8758.983333333334,9576.35,8686.75,849.2666666666667,4069.45,2877.7833333333333,11588.233333333334,957.85,3313.4166666666665,12212.45,13034.483333333334,1486.05,8711.683333333332,5201.5,3056.9166666666665,1329.7833333333333,1492.4833333333333,9639.833333333334,9619.166666666666,9301.25,9172.733333333334,7359.216666666666,8560.916666666666,1352.6333333333334,1635.7333333333333,3006.15,2852.6833333333334,9314.716666666667,8150.2,4526.216666666666,2629.366666666667,8893.383333333333,696.75,3385.1833333333334,988.45,2397.866666666667,8334.366666666667,418.21666666666664,1380.2333333333333,10134.35,7955.983333333334,7461.4,3388.116666666667,770.7833333333333,8112.45,9455.7,8269.483333333334,11809.516666666666,3154.5,2079.85,871.5333333333333,575.75,8090.066666666667,10154.75,4518.333333333333,14661.433333333332,7375.75,3487.5333333333333,12315.766666666666,9785.716666666667,9446.466666666667,247.35,1475.15,2010.9333333333334,4652.616666666667,7636.466666666666,14093.933333333332,546.45,217.7,9428.0,836.15,512.9833333333333,11226.3,417.45,9799.633333333333,15324.016666666666,10394.866666666667
Goleta,13876.283333333333,2394.5666666666666,2738.633333333333,8750.7,2738.0333333333333,2586.15,4551.15,3043.6833333333334,3198.8,7153.55,8000.55,7347.166666666667,8310.15,10293.266666666666,5822.616666666667,4814.966666666666,3977.516666666667,9577.083333333334,3116.5666666666666,7750.416666666667,7953.483333333334,3726.383333333333,17495.266666666666,2750.1,7496.95,8565.8,3224.45,5868.966666666666,7488.933333333333,7645.416666666667,3024.5666666666666,14520.366666666667,8658.633333333333,12990.25,8300.683333333332,3758.5666666666666,3819.15,11964.016666666666,6938.566666666667,4804.016666666666,4692.483333333334,4915.716666666666,3372.9166666666665,12448.55,3061.866666666667,5822.25,2644.7,0.0,9406.116666666667,4087.75,2959.3166666666666,7136.483333333334,4741.3,5450.383333333333,2704.233333333333,5712.266666666666,7733.05,4376.533333333334,4543.733333333334,9849.483333333334,2823.633333333333,2842.7,7447.7,1178.55,3289.6666666666665,2864.366666666667,5620.35,6573.516666666666,5093.25,6932.683333333333,6263.816666666667,4856.8,5850.25,6535.283333333334,2994.383333333333,14024.55,8387.416666666666,8302.8,2132.05,3903.2,7875.283333333334,7517.716666666666,5092.966666666666,9884.416666666666,1386.5333333333333,5509.65,5259.933333333333,2956.116666666667,3029.233333333333,8162.0,7657.4,8474.766666666666,7416.85,3493.9666666666667,3711.8333333333335,5519.533333333334,11248.55,3602.55,5955.183333333333,11110.866666666667,11932.9,4130.766666666666,7054.116666666667,4502.933333333333,4552.3,3974.483333333333,4137.183333333333,8538.25,8517.583333333334,8199.65,8071.15,5450.2,7526.283333333334,3997.3333333333335,4277.483333333334,5647.916666666667,5494.433333333333,7657.15,6492.616666666667,2142.8166666666666,5271.116666666667,7235.8,3203.3333333333335,6026.933333333333,3630.2,250.18333333333334,6676.8,2626.3,1386.8166666666666,8476.783333333333,6298.4,5728.033333333334,2693.45,1978.1666666666667,7077.75,9610.516666666666,7167.9,12321.183333333332,2023.9166666666667,4721.6,1804.1333333333334,3115.516666666667,6988.466666666666,10464.25,3840.95,14781.783333333333,6274.166666666667,5641.2,10441.8,8684.133333333333,8162.883333333333,2405.766666666667,1171.4666666666667,3910.0833333333335,4092.3333333333335,5902.533333333334,12992.35,3191.15,2681.0666666666666,8326.4,3477.9,3154.733333333333,10124.716666666667,2242.866666666667,8698.05,14671.05,9293.283333333333
Grass Valley,4946.95,10239.233333333334,8042.066666666667,635.9,7601.666666666667,7610.25,10792.75,10834.966666666667,10990.083333333334,6212.366666666667,14602.616666666667,14507.016666666666,1243.45,1806.0166666666667,13782.916666666666,5165.15,5486.133333333333,1288.0833333333333,10917.116666666667,3263.0666666666666,2991.2166666666667,11517.666666666666,8989.616666666667,10714.266666666666,3160.5666666666666,1718.4166666666667,6893.933333333333,13613.566666666668,14838.916666666666,3603.866666666667,10812.766666666666,6012.966666666666,2483.883333333333,4338.016666666666,1043.7,11092.85,11125.066666666668,4312.183333333333,3993.2,5075.533333333334,5206.366666666667,5033.8,11164.2,5197.983333333334,10887.7,4552.183333333333,10433.033333333333,9360.616666666667,0.0,5797.683333333333,10863.666666666666,3890.25,11944.883333333333,4488.933333333333,10579.983333333334,12872.116666666667,1888.3333333333333,5707.366666666667,9138.8,2872.766666666667,9406.916666666666,10633.983333333334,2049.5833333333335,8841.966666666667,11090.733333333334,10695.433333333332,3781.5,4350.066666666667,4528.183333333333,2538.2166666666667,3990.25,4488.816666666667,3702.4333333333334,2819.0833333333335,10785.683333333332,5518.9,2913.65,13477.066666666668,9914.516666666666,11478.45,3901.266666666667,3691.5333333333333,12820.883333333333,1339.8333333333333,10071.1,12669.5,12419.783333333333,10801.783333333333,6873.9,3655.9333333333334,3423.7833333333333,1306.1166666666666,3460.85,11282.15,6782.35,13243.4,2088.7833333333333,11235.483333333334,13702.066666666668,2611.8,3427.25,11290.616666666667,3558.1666666666665,5667.266666666666,9098.633333333333,11311.633333333333,11413.65,927.0833333333334,1031.3333333333333,1460.9333333333334,1535.3166666666666,4984.95,2243.15,11134.45,12068.766666666666,13608.216666666667,13454.733333333334,3021.4333333333334,4185.5,7780.983333333334,12881.85,3381.383333333333,11129.8,13987.233333333334,11421.483333333334,9140.25,4198.0,10724.75,9945.016666666666,3409.1666666666665,4354.316666666667,5348.233333333334,7202.683333333333,9941.416666666666,3057.5833333333335,2685.2166666666667,2312.0833333333335,3081.866666666667,7341.2,12189.15,10190.683333333332,10983.583333333334,2772.15,1741.5333333333333,6244.3,5953.2,3108.6833333333334,12444.066666666668,3304.7,2184.8166666666666,2863.0833333333335,10321.483333333334,9856.033333333333,10737.916666666666,6156.15,4908.216666666666,4486.7,10979.333333333334,10564.966666666667,1479.0166666666667,11269.183333333332,10946.016666666666,1960.1833333333334,10226.833333333334,1587.0,6165.4,806.0333333333333
Hanford,9896.016666666666,4585.233333333334,2249.233333333333,5205.2,1808.8166666666666,1817.4166666666667,4999.9,5180.95,5336.066666666667,3920.7833333333333,8986.283333333333,8866.633333333333,4764.666666666667,6747.783333333334,8142.516666666666,767.8333333333334,1048.2666666666667,6031.6,5263.1,4382.616666666667,5130.083333333333,5863.666666666667,13949.766666666666,5060.266666666666,4765.35,5020.316666666667,1101.1,7973.183333333333,9198.533333333333,4839.65,5158.75,10974.883333333333,5113.133333333333,9444.75,4755.183333333333,5452.466666666666,5484.683333333333,8688.833333333334,4206.966666666666,783.55,657.9833333333333,888.4166666666666,5510.2,9574.633333333333,5233.7,3090.633333333333,4779.016666666666,4105.366666666667,5860.633333333333,0.0,5209.65,4404.883333333333,6304.483333333334,2718.7833333333333,4925.966666666666,7231.733333333334,4170.616666666667,2289.0,3771.616666666667,7076.383333333333,3779.1833333333334,4979.966666666666,3902.2166666666667,3811.1,5436.733333333334,5041.433333333333,2096.1666666666665,3841.9166666666665,1330.0833333333333,3387.2,2375.4333333333334,1311.45,2146.95,2989.7833333333333,5131.666666666667,10479.066666666668,5023.916666666667,8791.8,4260.516666666666,5838.05,5384.816666666667,4786.116666666667,7180.5,6338.933333333333,4815.866666666667,7029.116666666667,6779.4,5162.866666666667,2125.5833333333335,5671.533333333334,4111.9,4929.283333333334,4039.6666666666665,5722.733333333334,1081.0333333333333,7603.016666666666,7703.066666666667,5595.1,8061.666666666667,7565.383333333333,8387.4,5650.216666666666,4322.516666666666,605.6,3780.1833333333334,5671.25,5773.266666666666,4992.766666666666,4972.1,4654.166666666667,4525.666666666667,3187.9666666666667,3807.25,5494.066666666667,6414.766666666666,7967.816666666667,7814.35,4925.533333333334,3761.016666666667,3032.6666666666665,7241.466666666666,4504.2,5475.783333333334,8346.85,5767.483333333334,3885.016666666667,3945.2,5070.75,4663.45,5986.3,3566.8,3551.233333333333,1409.85,4293.766666666666,3358.7833333333333,5945.966666666666,3622.4166666666665,8340.9,2110.266666666667,6548.766666666666,4543.033333333334,5329.583333333333,3442.983333333333,6645.033333333334,525.9,11236.3,2728.6833333333334,6719.816666666667,7668.7,5138.65,4799.4,4667.483333333334,4600.8,5013.65,497.6666666666667,3247.2833333333333,9446.866666666667,5325.333333333333,4910.95,4780.916666666667,5615.183333333333,5292.016666666666,6579.216666666666,4754.066666666667,5152.566666666667,11125.566666666668,5747.8
