,Not underserved,Underserved,% underserved,Pearson residual
<$10K,458620,155712,25.35,-12.26
$10K-$15K,381156,125618,24.79,-18.92
$15K-$25K,673374,235383,25.9,-4.57
$25K-$35K,689942,239091,25.74,-7.75
$35K-$50K,972369,342619,26.05,-2.06
$50K-$75K,1490423,515693,25.71,-12.2
$75K-$100K,1185959,429479,26.59,10.92
$100K-$150K,1648229,585681,26.22,2.08
$150K-$200K,898859,327969,26.73,12.7
$200K+,1272061,466624,26.84,17.82
