STATUS,< $10K,$10K-$15K,$15K-$25K,$25K-$35K,$35K-$50K,$50K-$75K,$75K-$100K,$100K-$150K,$150K-$200K,$200K+,TOTAL
Underserved,155712,125618,235382,239090,342618,515693,429479,585680,327968,466623,3423863
Not Underserved,458620,381156,673374,689941,972368,1490422,1185959,1648228,898859,1272060,9670987
