STATUS,< $10K,$10K–$15K,$15K–$25K,$25K–$35K,$35K–$50K,$50K–$75K,$75K–$100K,$100K–$150K,$150K–$200K,$200K+,TOTAL
Underserved,2523,2102,3838,3761,5234,7277,5441,7370,3561,4890,45997
Not Underserved,6229,5212,9385,9549,12834,19229,14506,19081,10415,14657,121097
